sample_id,ec_uScm,tds_mgL,turbidity_NTU,temp_C,pH,do_mgL,class
79,66.64,25.46,9.94,29.01,7.61,8.7,Normal
367,177.62,95.22,11.04,26.11,8.47,8.26,Normal
1957,4761.4,2103.79,413.66,37.93,4.51,13.13,Severe
33,115.78,58.06,20.79,25.53,8.13,5.27,Normal
1670,10.85,9.17,76.22,22.94,9.44,2.07,Warning
1227,929.9,489.41,28.73,24.38,6.01,9.35,Caution
671,44.29,21.79,44.9,24.37,6.03,9.11,Caution
862,637.29,403.18,35.61,23.92,6.41,4.39,Caution
1034,702.25,366.01,26.99,23.98,6.24,4.1,Caution
760,20.07,17.57,38.12,24.11,8.9,4.81,Caution
555,347.2,180.07,13.67,29.21,6.54,8.89,Normal
164,310.54,152.2,1.11,29.73,6.61,6.57,Normal
204,360.68,194.33,24.59,27.4,7.32,8.45,Normal
860,865.58,404.78,45.18,30.84,6.12,4.6,Caution
930,47.12,25.91,37.98,24.34,6.31,9.85,Caution
479,323.66,170.32,24.02,28.41,7.07,7.57,Normal
1113,23.8,12.53,29.09,30.9,8.77,4.07,Caution
306,338.7,198.64,19.97,27.93,7.67,7.63,Normal
994,32.19,21.68,35.09,31.19,8.69,9.07,Caution
600,473.27,224.69,11.27,27.59,7.66,7.72,Normal
2135,2.94,0.0,363.25,17.8,4.73,1.85,Severe
193,226.43,145.92,6.78,26.8,6.98,5.71,Normal
1558,1517.28,861.93,50.56,20.85,9.03,10.14,Warning
1631,1508.5,955.98,80.85,32.01,9.18,11.9,Warning
1799,4.38,2.59,253.07,19.61,10.33,1.44,Severe
1460,13.95,7.83,110.61,21.13,5.81,10.67,Warning
1562,12.47,15.06,63.77,20.11,5.67,10.34,Warning
1415,1657.94,1092.67,115.58,32.02,5.6,10.87,Warning
1565,1010.48,495.22,126.46,33.4,9.21,2.98,Warning
219,207.3,94.07,14.89,26.01,7.78,8.55,Normal
622,53.1,24.61,21.52,25.95,7.77,8.68,Normal
2118,4787.3,2485.71,587.48,16.97,10.17,13.65,Severe
352,480.14,295.57,24.54,26.44,8.35,7.72,Normal
1881,2184.76,1044.21,163.91,15.5,9.81,13.42,Severe
1072,45.9,15.02,27.38,30.58,8.51,9.14,Caution
817,764.29,396.0,47.25,31.73,8.7,9.74,Caution
638,74.2,41.34,13.15,29.63,6.73,7.41,Normal
1115,759.28,349.69,48.02,30.09,6.18,9.83,Caution
1386,18.03,6.3,87.95,32.95,9.31,2.85,Warning
782,631.46,381.85,28.05,30.12,6.35,9.88,Caution
60,233.95,127.22,6.22,28.05,7.36,7.54,Normal
412,61.48,32.89,15.39,28.59,8.5,5.19,Normal
786,46.75,27.38,25.9,30.87,8.66,9.68,Caution
742,31.46,17.48,39.97,23.06,6.2,4.85,Caution
515,279.65,126.8,13.22,28.66,8.32,7.51,Normal
765,42.4,25.78,36.8,30.59,6.38,4.49,Caution
74,188.39,86.36,15.36,25.12,6.88,8.71,Normal
783,22.16,10.73,25.64,24.64,6.01,9.34,Caution
789,578.67,354.5,28.87,30.92,6.06,9.17,Caution
1188,855.18,502.38,39.9,24.36,6.12,4.02,Caution
1954,6.46,0.93,237.1,17.23,5.03,0.72,Severe
496,89.3,43.5,11.58,25.7,6.61,6.97,Normal
163,422.06,245.36,23.26,27.81,6.93,8.02,Normal
743,24.38,21.8,37.74,30.39,8.85,9.44,Caution
1818,2912.99,1666.2,306.75,36.15,10.21,1.65,Severe
448,498.95,316.19,21.87,29.03,7.16,5.35,Normal
1264,547.67,346.49,33.78,30.93,8.76,4.65,Caution
354,70.55,32.8,19.89,28.25,7.79,6.08,Normal
924,47.08,28.5,45.01,24.4,6.18,4.61,Caution
987,779.75,412.49,39.82,31.64,6.16,9.86,Caution
1922,3747.66,1782.85,597.02,19.41,5.21,1.68,Severe
2129,4399.0,2570.47,565.6,19.54,10.18,0.98,Severe
1620,1346.07,717.13,85.76,20.34,9.33,10.42,Warning
46,398.44,207.74,17.11,25.44,6.73,7.63,Normal
1812,3819.88,1746.53,330.88,36.62,10.12,1.62,Severe
295,349.35,178.43,17.45,25.26,8.16,6.91,Normal
1617,1880.41,867.07,122.18,20.6,5.83,10.03,Warning
1317,11.43,4.04,136.93,22.16,9.1,11.01,Warning
858,567.1,323.43,25.24,24.86,6.08,9.83,Caution
437,414.47,225.12,17.35,28.59,7.79,7.27,Normal
1963,3535.05,2207.69,372.52,16.88,5.49,14.2,Severe
394,371.72,225.59,15.42,29.91,7.12,8.86,Normal
652,524.87,328.69,33.2,31.17,8.6,9.15,Caution
31,322.71,180.73,21.83,28.98,8.16,5.93,Normal
1288,626.6,365.22,27.73,23.98,8.88,4.18,Caution
870,33.2,16.84,32.39,31.79,6.16,9.91,Caution
1613,11.06,11.01,108.02,22.6,9.18,10.55,Warning
1787,2601.08,1269.88,377.23,18.64,5.37,1.69,Severe
1629,16.51,0.0,118.08,33.5,5.68,11.4,Warning
1777,1584.2,912.61,102.65,32.14,5.99,11.75,Warning
345,353.91,231.54,21.19,25.36,7.13,8.78,Normal
1757,14.35,7.62,63.34,20.23,5.6,3.59,Warning
353,253.05,158.61,12.11,29.06,6.94,7.95,Normal
92,143.16,78.94,8.25,26.92,6.72,5.24,Normal
787,778.98,430.29,36.89,31.65,6.3,9.35,Caution
1618,13.5,15.04,100.49,33.86,5.9,11.61,Warning
1921,2550.28,1298.02,512.3,36.35,9.52,13.33,Severe
1308,48.52,24.79,33.31,24.04,8.64,9.84,Caution
262,386.2,232.31,4.14,27.47,6.58,5.5,Normal
1502,13.21,14.38,137.77,21.56,9.11,10.17,Warning
1605,11.23,15.79,70.09,32.38,5.95,10.39,Warning
549,317.99,166.99,23.06,25.1,7.99,6.09,Normal
1725,10.66,9.75,100.88,21.6,5.61,10.03,Warning
1359,16.63,10.13,73.1,33.66,5.69,2.31,Warning
1691,1567.94,964.12,103.23,20.89,5.59,3.12,Warning
637,127.29,73.64,15.69,26.44,6.83,7.04,Normal
2007,8.3,9.32,401.66,34.76,10.27,14.49,Severe
301,237.61,137.47,13.9,29.66,7.16,7.73,Normal
1830,3765.57,1973.93,366.76,35.36,4.71,1.19,Severe
926,787.07,428.13,47.14,31.65,6.13,4.09,Caution
316,360.72,225.09,1.4,28.16,8.16,7.48,Normal
1557,1483.24,849.64,61.8,33.56,5.88,11.69,Warning
454,129.41,71.52,2.24,26.38,7.57,5.12,Normal
176,368.53,240.75,20.92,29.82,7.07,5.38,Normal
1310,11.46,3.69,64.61,20.41,9.06,10.17,Warning
1615,18.94,0.0,74.09,32.59,9.13,2.33,Warning
1833,4464.36,2649.02,331.61,35.91,5.22,1.95,Severe
124,407.14,250.27,6.09,28.97,7.18,7.49,Normal
1935,3259.77,1632.02,215.42,35.9,10.37,12.95,Severe
395,352.39,220.81,18.06,25.38,6.88,7.42,Normal
846,43.61,22.11,28.16,23.95,8.83,9.53,Caution
1299,950.98,477.07,46.92,24.99,8.78,9.99,Caution
40,183.59,124.93,23.77,26.64,7.23,6.52,Normal
463,424.56,269.25,18.53,29.96,8.02,8.02,Normal
586,249.96,130.26,9.22,27.62,7.46,8.1,Normal
648,551.47,295.45,37.01,23.25,8.52,4.1,Caution
332,160.69,97.23,12.8,29.2,6.95,6.59,Normal
195,326.08,203.23,22.35,28.21,7.5,8.47,Normal
2049,2.48,0.0,312.25,16.11,5.19,1.76,Severe
323,395.45,237.83,22.44,25.83,7.17,6.8,Normal
267,452.98,280.42,11.42,28.87,7.13,8.06,Normal
2084,2735.7,1803.88,536.78,34.25,4.65,13.53,Severe
1126,47.42,29.05,45.92,23.61,6.16,9.89,Caution
1402,18.28,9.02,65.32,22.66,9.21,2.07,Warning
880,35.35,18.83,49.8,23.9,6.47,4.77,Caution
1614,1215.11,744.21,142.65,21.41,9.31,2.51,Warning
1773,13.26,0.1,51.66,33.62,9.07,11.76,Warning
2017,7.37,0.0,538.43,37.91,5.23,0.75,Severe
1092,601.05,365.59,42.81,31.59,8.91,9.69,Caution
606,448.8,278.3,7.51,25.12,7.76,6.11,Normal
2078,1.55,3.85,391.22,16.63,5.28,0.78,Severe
1475,18.48,15.34,105.36,33.03,9.33,10.65,Warning
573,131.82,62.93,8.96,26.06,6.91,8.91,Normal
1746,1002.79,568.39,66.0,33.03,9.34,2.08,Warning
1828,8.18,0.0,174.03,34.73,10.39,1.27,Severe
1377,13.5,10.81,74.23,21.87,5.56,10.54,Warning
1890,2616.82,1546.97,375.23,37.25,4.77,0.79,Severe
1454,19.44,14.23,65.9,32.25,5.55,11.55,Warning
1967,4.26,0.0,436.68,18.31,9.62,15.33,Severe
1135,735.82,408.66,42.01,31.66,6.18,4.49,Caution
839,802.92,420.29,44.55,24.98,6.1,9.22,Caution
1543,16.51,11.75,109.83,32.29,5.86,2.57,Warning
1587,1367.17,847.55,149.03,21.38,9.33,10.93,Warning
1431,1737.55,860.82,64.72,21.69,5.75,11.36,Warning
1455,10.89,0.45,102.5,33.3,5.69,3.28,Warning
366,194.71,97.73,3.06,29.41,7.63,7.67,Normal
1461,17.21,17.99,51.06,22.53,9.22,3.19,Warning
1171,854.7,447.96,49.62,31.22,8.86,4.9,Caution
2125,4302.96,2394.92,550.45,19.02,4.59,0.89,Severe
1002,35.03,18.66,33.24,31.45,6.35,4.45,Caution
584,206.54,116.88,7.85,28.8,6.59,7.95,Normal
695,998.38,472.46,27.46,31.97,8.78,9.1,Caution
1986,2263.51,1371.28,519.48,34.84,10.48,0.75,Severe
1287,45.35,27.5,41.5,23.88,8.76,9.44,Caution
842,21.64,7.23,33.01,31.65,8.53,9.55,Caution
1555,1085.8,521.67,126.64,20.83,9.16,10.91,Warning
766,45.66,37.76,31.24,31.48,8.86,4.72,Caution
1960,2304.17,1365.21,415.39,37.3,5.26,15.95,Severe
1836,9.92,11.48,205.08,15.4,4.96,1.67,Severe
319,258.67,153.11,1.74,28.46,7.07,5.1,Normal
915,746.04,469.23,27.09,31.13,6.18,9.0,Caution
1889,9.16,3.84,302.94,19.12,4.95,15.46,Severe
788,41.65,28.55,38.92,30.91,8.95,9.28,Caution
1626,1623.04,768.27,92.57,21.71,5.63,10.46,Warning
1371,1934.1,950.33,78.83,21.55,9.19,2.31,Warning
344,286.29,186.37,16.67,29.35,8.1,7.79,Normal
399,342.23,182.88,23.28,28.81,8.36,8.69,Normal
585,434.54,254.94,10.6,27.36,7.96,5.98,Normal
1638,17.85,2.78,110.45,20.01,9.21,3.69,Warning
293,90.02,37.07,1.57,25.33,7.95,8.45,Normal
807,800.93,416.48,48.69,23.42,6.03,4.12,Caution
1798,4.38,0.0,295.14,37.38,9.77,14.03,Severe
1118,40.6,25.63,27.22,23.64,6.07,9.89,Caution
142,257.54,121.22,11.19,28.64,6.69,8.91,Normal
940,30.33,9.99,42.62,23.83,6.0,9.67,Caution
3,391.14,250.74,9.51,25.32,7.61,8.31,Normal
577,169.26,85.37,7.55,29.25,7.75,6.32,Normal
1318,1656.63,1014.16,54.04,21.34,5.57,11.89,Warning
340,111.5,69.99,10.44,25.84,7.32,7.96,Normal
820,24.98,19.49,40.65,30.0,6.31,9.23,Caution
266,495.86,268.5,23.28,25.13,6.68,5.81,Normal
377,113.58,64.29,7.41,27.37,7.98,7.28,Normal
893,890.52,564.31,33.49,24.61,6.1,9.48,Caution
440,57.42,37.43,12.36,29.19,6.81,6.94,Normal
272,403.12,246.15,24.22,29.12,7.33,6.03,Normal
245,382.9,213.47,2.8,27.09,7.73,7.29,Normal
1969,4242.28,2156.02,389.0,35.12,4.64,14.79,Severe
680,24.48,5.26,48.24,24.76,8.59,9.3,Caution
933,40.94,27.22,29.07,31.57,8.66,4.92,Caution
773,42.29,24.54,47.31,30.9,6.03,9.12,Caution
608,356.19,188.33,10.3,27.6,7.67,7.22,Normal
416,284.35,176.94,9.16,27.62,7.2,8.53,Normal
274,80.39,43.99,13.29,25.29,7.94,7.39,Normal
1019,42.03,25.41,35.5,30.51,6.48,4.28,Caution
251,112.9,58.98,11.59,28.44,6.81,5.19,Normal
414,410.61,255.85,15.5,25.06,7.12,6.74,Normal
1248,30.9,24.22,42.4,31.68,6.39,9.05,Caution
1491,1092.45,700.41,74.17,32.76,9.02,2.52,Warning
311,72.92,48.56,23.16,28.04,6.72,8.84,Normal
747,919.18,552.02,26.87,24.77,8.62,4.05,Caution
1489,1355.21,777.22,92.85,32.99,5.85,2.92,Warning
426,432.63,222.29,21.66,28.1,6.96,8.15,Normal
2090,6.25,1.95,468.69,15.19,9.75,12.95,Severe
1133,503.81,351.24,29.72,23.74,8.6,4.39,Caution
975,37.91,20.6,47.23,24.85,6.5,9.66,Caution
1545,14.6,5.66,69.52,32.97,5.51,3.65,Warning
904,31.83,25.52,45.34,30.1,8.99,9.93,Caution
1178,37.53,23.69,32.27,23.5,6.43,4.59,Caution
711,24.74,17.3,46.07,24.57,6.11,9.49,Caution
527,165.1,82.29,24.43,28.02,8.25,5.71,Normal
808,993.67,624.9,34.26,30.96,6.35,4.82,Caution
1494,19.58,24.44,134.75,33.17,5.97,3.8,Warning
183,352.78,179.5,11.43,25.91,7.58,6.28,Normal
171,204.86,132.35,3.32,26.07,7.54,5.56,Normal
1531,1801.07,1019.08,146.43,32.18,5.52,2.63,Warning
818,859.07,551.8,31.08,24.06,8.53,4.07,Caution
188,277.59,142.52,18.68,26.85,8.42,6.7,Normal
620,311.98,160.26,10.89,25.35,7.75,6.27,Normal
1880,1.59,5.67,527.26,35.57,4.6,0.94,Severe
159,228.89,111.71,15.03,27.47,7.5,8.88,Normal
1585,13.21,8.37,113.73,33.66,5.66,11.54,Warning
273,168.55,81.7,23.31,25.85,7.55,8.27,Normal
615,333.96,187.14,4.69,28.15,8.02,8.15,Normal
1766,16.84,2.17,77.04,33.45,5.73,10.83,Warning
1129,42.62,18.1,46.15,24.78,8.59,4.5,Caution
1510,1626.08,1019.45,77.82,20.28,5.57,3.12,Warning
372,79.86,33.3,6.79,26.39,7.73,5.4,Normal
223,198.59,120.5,17.47,25.77,7.02,5.99,Normal
594,172.62,102.3,16.81,29.61,7.51,7.03,Normal
988,43.46,23.89,38.75,23.36,8.57,4.28,Caution
1111,968.29,575.11,45.17,31.94,6.02,9.23,Caution
1010,644.43,339.28,47.52,24.84,8.54,4.4,Caution
519,162.0,85.19,1.47,29.3,7.06,6.59,Normal
793,28.13,22.0,44.43,24.22,8.55,4.46,Caution
335,352.13,187.51,7.12,26.43,7.67,7.96,Normal
905,22.1,11.56,29.27,23.88,6.09,4.69,Caution
1712,11.27,5.3,82.61,22.16,9.07,11.22,Warning
1203,31.6,9.69,49.1,23.44,6.14,4.9,Caution
781,954.9,565.66,41.05,24.62,8.63,4.0,Caution
16,68.73,37.25,12.86,28.25,7.67,5.34,Normal
1846,1.67,2.05,332.71,34.08,5.13,13.83,Severe
1062,612.27,390.33,45.62,23.24,8.57,9.07,Caution
1755,13.07,10.93,111.57,33.92,9.23,2.11,Warning
1918,2.64,0.0,292.47,17.15,4.83,0.85,Severe
571,405.77,265.39,21.4,27.45,6.66,5.3,Normal
655,27.24,19.73,31.56,24.73,8.72,4.76,Caution
1125,965.32,627.68,44.76,23.63,6.17,9.05,Caution
1103,896.16,543.55,31.64,30.09,6.25,4.94,Caution
466,248.55,122.98,6.07,26.28,8.45,7.9,Normal
1000,38.32,23.11,32.03,31.5,8.72,4.96,Caution
200,113.02,64.57,17.27,29.06,6.85,6.06,Normal
1369,1370.81,870.46,145.31,33.43,9.15,2.07,Warning
1273,759.21,492.21,29.95,31.41,6.2,9.67,Caution
1289,27.21,14.78,26.85,31.55,8.67,9.94,Caution
2000,4786.53,2569.06,468.77,34.71,4.55,14.28,Severe
1482,1241.99,803.88,53.92,21.4,9.23,3.15,Warning
1065,21.55,17.86,35.94,30.73,6.49,9.69,Caution
592,99.86,49.52,5.72,27.22,6.57,7.47,Normal
945,44.23,19.46,29.99,30.28,6.31,4.05,Caution
1597,14.36,6.39,127.35,32.48,9.38,11.35,Warning
1616,1140.66,666.53,92.94,22.15,9.07,11.59,Warning
1578,13.8,0.0,136.43,22.44,5.58,3.57,Warning
1421,1300.21,655.11,147.0,32.17,5.61,2.18,Warning
1177,36.77,13.6,29.58,24.88,6.09,4.52,Caution
44,327.27,188.24,5.11,26.27,8.39,7.36,Normal
1783,13.53,2.44,75.82,32.46,9.06,2.3,Warning
275,195.47,112.31,15.1,29.69,6.74,8.58,Normal
1965,4537.92,1999.11,396.75,16.74,5.34,1.32,Severe
102,446.17,254.91,13.87,27.92,8.49,5.51,Normal
1081,830.42,456.51,30.59,24.31,6.06,9.81,Caution
1341,1551.45,756.46,143.86,33.03,5.87,2.21,Warning
1290,29.02,10.84,27.71,30.47,6.44,9.45,Caution
108,97.08,56.02,22.7,28.66,7.98,8.13,Normal
892,42.06,25.89,31.08,24.0,6.12,9.18,Caution
498,92.86,42.85,11.88,26.62,6.66,5.95,Normal
2143,2.01,0.0,479.04,16.71,4.95,14.07,Severe
1464,1669.47,1073.22,101.61,22.89,5.65,10.18,Warning
1785,1304.27,790.32,65.7,20.32,9.49,3.29,Warning
1848,4449.94,2439.22,153.99,18.2,4.79,12.33,Severe
1657,1191.32,744.49,149.24,32.86,9.3,3.86,Warning
1667,15.68,7.55,72.54,20.85,5.51,3.53,Warning
1476,1769.07,1032.05,84.26,22.56,9.38,2.65,Warning
1912,4605.06,2181.59,297.86,15.16,9.79,15.86,Severe
799,35.05,15.39,29.81,31.58,6.21,9.29,Caution
1754,15.73,4.17,55.86,32.22,5.94,3.75,Warning
713,28.77,31.17,28.34,24.6,8.57,9.88,Caution
73,462.8,233.02,16.14,27.66,7.5,5.42,Normal
977,44.76,22.48,37.65,30.49,8.93,9.78,Caution
1379,1556.59,816.29,142.42,33.87,9.08,3.68,Warning
1327,11.82,0.0,68.98,20.7,9.27,2.38,Warning
819,550.23,313.4,38.05,24.11,8.51,9.98,Caution
482,165.82,80.85,15.88,29.75,7.19,6.3,Normal
1581,1659.35,987.67,147.99,33.02,5.55,3.78,Warning
507,131.45,79.89,10.43,26.41,8.08,7.78,Normal
1993,2120.08,1255.41,552.24,37.12,10.14,15.41,Severe
1001,558.59,334.03,26.72,30.44,8.98,9.44,Caution
1209,43.43,29.19,48.25,24.58,6.04,9.28,Caution
2148,3.7,6.9,348.44,37.7,10.25,15.48,Severe
2067,7.87,6.2,165.87,16.85,5.37,1.12,Severe
1659,1395.08,636.57,141.54,33.94,5.7,10.19,Warning
1810,3982.44,2435.99,193.68,35.08,5.45,1.88,Severe
312,65.25,45.86,17.39,26.06,7.6,8.28,Normal
1054,49.31,29.8,30.3,23.16,8.94,9.16,Caution
406,69.34,37.24,2.9,25.51,8.11,6.23,Normal
1942,4860.74,2619.81,195.12,16.51,9.92,1.17,Severe
1484,1557.77,920.99,87.04,22.1,9.18,10.5,Warning
1453,1243.26,759.56,56.12,32.44,9.06,10.66,Warning
1572,1323.28,703.29,122.65,21.29,9.24,11.52,Warning
310,417.08,244.13,10.2,26.17,7.51,5.42,Normal
227,467.59,249.37,12.8,27.36,8.02,7.0,Normal
744,26.77,16.34,33.8,23.87,8.66,4.91,Caution
1934,3280.49,1607.7,387.17,17.63,4.76,0.53,Severe
927,26.67,14.25,34.53,30.48,6.11,4.39,Caution
1404,1183.47,589.26,109.6,22.88,9.18,2.93,Warning
1857,7.03,13.03,572.35,37.01,10.47,13.75,Severe
1053,48.69,31.29,47.62,24.28,9.0,9.25,Caution
1101,654.67,348.9,29.13,23.69,8.65,9.14,Caution
149,443.79,264.59,24.41,28.27,6.77,6.79,Normal
811,854.11,513.43,37.35,31.41,6.32,4.56,Caution
931,685.31,356.34,34.94,23.04,6.1,4.26,Caution
292,126.64,73.29,2.66,26.85,8.24,7.27,Normal
693,23.72,10.86,47.52,30.21,6.27,4.86,Caution
705,30.99,27.26,28.96,23.82,6.18,9.85,Caution
1045,854.8,468.6,40.26,31.34,8.89,4.66,Caution
1059,557.52,257.81,40.73,31.35,6.14,9.53,Caution
576,472.37,281.13,16.33,27.23,7.6,7.05,Normal
558,157.03,93.56,20.88,27.48,6.58,7.62,Normal
1260,33.25,20.43,40.95,31.4,8.86,9.89,Caution
702,566.23,342.3,27.85,31.62,8.94,9.46,Caution
908,41.3,24.85,29.02,24.88,8.63,4.14,Caution
1315,1528.25,714.42,91.77,22.47,9.26,3.12,Warning
1335,1796.23,1038.89,63.3,33.41,5.85,11.75,Warning
1809,6.11,2.38,306.89,18.51,10.12,13.64,Severe
749,984.28,646.78,33.36,30.78,6.13,4.84,Caution
1321,14.99,5.55,68.83,32.64,9.19,3.31,Warning
809,37.84,26.49,43.78,31.5,8.87,9.35,Caution
168,323.25,167.13,11.2,27.41,8.12,7.26,Normal
731,36.13,12.71,40.96,24.23,8.56,4.97,Caution
1174,911.65,442.32,40.89,31.8,8.74,9.19,Caution
287,476.99,236.92,19.16,25.22,7.96,5.02,Normal
1826,9.62,2.44,506.24,37.88,5.31,14.84,Severe
2145,4.36,9.22,439.48,37.17,4.98,14.98,Severe
629,153.34,81.36,20.94,26.99,7.13,5.98,Normal
599,378.36,223.64,10.81,25.23,6.92,6.85,Normal
1117,48.6,31.08,47.66,23.29,6.37,4.38,Caution
378,153.55,100.94,24.65,28.95,7.26,5.26,Normal
2074,8.77,2.23,386.69,16.23,10.15,14.46,Severe
1344,1628.56,1048.84,100.57,20.24,9.42,2.78,Warning
1808,3282.94,2098.01,215.63,35.32,4.67,0.92,Severe
1190,43.66,22.2,43.12,24.84,8.59,9.9,Caution
1396,13.82,4.55,53.51,33.07,9.38,2.12,Warning
1035,22.84,4.11,44.7,30.32,8.54,9.1,Caution
42,109.45,60.44,15.75,26.01,7.97,7.78,Normal
830,24.69,16.13,35.55,24.35,8.71,4.14,Caution
1367,1193.59,767.48,113.17,32.54,9.39,2.3,Warning
998,617.31,354.46,34.21,23.48,6.17,9.41,Caution
1868,9.62,0.0,312.28,17.58,10.23,1.89,Severe
1506,18.42,14.55,104.07,22.85,9.01,10.0,Warning
610,170.92,86.82,17.61,26.13,8.5,6.12,Normal
1195,855.73,351.88,30.54,24.16,8.77,4.27,Caution
2057,4002.37,2525.87,592.91,34.31,10.32,0.56,Severe
1669,14.55,1.15,103.64,32.11,5.62,2.6,Warning
2110,5.48,14.4,571.31,16.45,10.12,13.11,Severe
1162,46.78,26.63,38.69,31.27,6.15,9.64,Caution
494,173.23,83.09,9.28,26.58,7.29,5.52,Normal
1504,19.45,10.44,108.55,33.59,9.46,2.4,Warning
278,67.44,36.09,16.69,26.27,8.3,7.82,Normal
758,46.16,31.52,41.46,24.75,8.6,4.29,Caution
2075,3272.16,2154.29,366.94,18.63,10.13,12.8,Severe
359,122.84,72.55,3.25,27.01,7.05,7.12,Normal
2043,4.88,11.82,258.3,36.48,10.49,15.84,Severe
237,311.78,195.68,1.52,26.38,7.81,5.26,Normal
552,63.42,42.82,8.4,25.93,7.26,5.55,Normal
521,107.32,56.48,17.79,28.27,8.47,8.6,Normal
2066,4181.78,1975.26,523.21,35.91,9.55,13.6,Severe
209,107.73,59.87,19.74,26.53,8.23,7.48,Normal
1583,14.54,6.33,52.06,33.01,9.09,3.66,Warning
721,48.9,27.49,47.7,23.76,8.52,9.48,Caution
1074,894.88,554.87,40.32,23.61,6.49,4.13,Caution
1780,1874.44,1008.86,54.98,21.98,5.63,10.38,Warning
1591,12.14,9.77,109.95,32.62,5.98,2.07,Warning
59,103.65,57.79,4.22,27.54,6.8,6.62,Normal
632,182.45,98.23,9.25,26.79,7.75,6.1,Normal
1805,3.22,0.0,296.41,18.82,5.35,0.87,Severe
1205,36.58,18.88,30.93,32.0,8.66,4.59,Caution
593,495.25,315.0,2.57,29.62,7.47,7.18,Normal
2076,9.4,2.96,504.39,34.49,4.67,1.63,Severe
364,499.73,237.58,1.18,29.27,6.99,5.14,Normal
506,366.65,196.51,4.88,26.98,8.41,8.2,Normal
986,27.57,4.65,43.17,23.47,8.9,9.6,Caution
1279,519.35,304.63,40.22,31.16,8.68,9.78,Caution
1825,4819.52,2189.42,241.94,36.42,4.75,1.5,Severe
734,36.04,17.49,27.92,23.13,6.34,4.32,Caution
1381,14.46,7.81,110.78,32.65,5.64,3.53,Warning
2070,3209.11,1731.05,180.95,36.64,9.84,14.33,Severe
2151,3618.43,1811.65,219.1,37.5,9.91,1.66,Severe
1242,811.9,370.47,40.6,23.31,8.53,4.86,Caution
1044,605.59,366.31,43.53,23.03,6.41,4.63,Caution
119,160.16,102.78,4.87,26.7,8.25,7.12,Normal
1568,1407.08,730.6,111.37,32.21,9.32,10.84,Warning
707,46.68,7.39,48.53,23.75,8.6,9.27,Caution
2101,3381.02,1820.47,241.87,19.8,4.65,14.74,Severe
746,47.38,39.72,47.99,24.67,8.81,4.2,Caution
523,448.07,207.66,5.2,26.4,8.17,7.08,Normal
1348,1632.22,1052.9,124.73,33.28,9.25,11.74,Warning
1048,36.67,23.07,31.99,23.41,8.92,4.59,Caution
514,118.65,61.15,13.45,29.44,8.1,6.54,Normal
82,434.01,243.85,8.17,26.19,7.84,8.41,Normal
1790,2954.54,1441.03,186.89,18.03,9.51,0.67,Severe
942,21.1,5.79,38.6,31.84,8.6,9.87,Caution
1422,10.36,5.57,117.74,22.02,5.7,3.27,Warning
381,171.45,100.44,15.35,28.09,7.49,5.61,Normal
1179,872.14,469.08,43.17,31.17,8.69,9.7,Caution
1923,2.7,0.0,450.53,36.43,9.79,1.0,Severe
85,80.23,32.04,5.85,27.48,8.33,5.54,Normal
1909,7.41,5.47,202.96,36.57,4.59,14.22,Severe
673,46.42,34.33,28.58,30.0,8.51,4.37,Caution
775,726.25,329.04,33.82,23.76,8.58,4.14,Caution
330,409.44,271.23,16.95,26.46,8.23,8.53,Normal
7,404.12,236.26,16.96,25.7,7.86,5.8,Normal
1519,1132.26,671.52,69.41,32.89,9.21,11.48,Warning
1984,2.23,0.0,166.84,19.27,9.79,1.53,Severe
980,901.32,536.88,37.32,30.39,6.0,4.06,Caution
1023,24.81,25.54,47.57,30.33,8.56,9.17,Caution
165,273.39,124.69,12.18,25.13,7.63,7.97,Normal
2114,2283.57,1119.21,454.67,36.04,10.44,13.95,Severe
452,352.6,183.37,16.43,28.34,8.17,7.24,Normal
491,91.95,41.08,2.75,26.71,7.03,7.6,Normal
1026,20.88,16.49,46.08,30.33,6.15,4.96,Caution
1690,17.81,15.17,98.07,32.35,5.9,10.55,Warning
288,319.18,202.14,22.55,26.62,7.37,7.09,Normal
1108,35.74,17.14,47.68,30.79,8.79,9.96,Caution
88,177.46,107.13,14.48,26.61,6.98,5.62,Normal
1560,1098.28,698.12,94.08,33.82,9.29,2.96,Warning
1718,1502.8,802.99,87.55,33.94,5.78,3.89,Warning
1704,1534.97,786.29,117.54,32.22,5.87,3.78,Warning
1166,714.11,428.52,37.47,24.15,6.38,9.49,Caution
1030,34.13,12.43,34.11,30.06,6.15,4.25,Caution
1937,2540.74,1530.82,309.04,37.68,9.99,15.98,Severe
1028,912.88,544.92,49.93,23.66,6.08,9.33,Caution
1085,692.93,439.37,26.16,24.77,8.7,9.91,Caution
1518,15.35,10.35,90.74,33.42,5.78,2.2,Warning
1240,20.16,11.27,37.32,30.04,8.54,9.22,Caution
1274,618.63,343.53,26.18,32.0,8.73,9.49,Caution
1879,3666.28,2207.17,392.22,17.53,4.8,1.45,Severe
328,273.45,159.6,22.31,26.44,7.19,5.97,Normal
1906,3325.77,2073.08,493.67,16.34,10.28,0.63,Severe
443,409.6,242.65,12.96,26.72,7.61,7.08,Normal
835,36.62,18.27,37.32,23.65,6.13,4.66,Caution
1434,10.95,4.01,120.7,33.24,5.91,2.86,Warning
1091,35.11,19.49,25.26,24.5,6.43,9.04,Caution
833,36.36,15.86,43.39,31.44,6.21,9.53,Caution
