id,Depth(m),Temperatur(degrees C),Salinity,Oxygen(umol/kg),pH,DO_mgL,QualityLevel
443,500.05,12.0613,34.3976,159.2,7.7543,5.0944,2
444,600.11,9.8199,34.3244,136.21,7.6634,4.35872,1
445,700.72,7.3471,34.2742,112.81,7.5681,3.60992,1
446,798.6,6.0491,34.3126,92.82,7.5074,2.97024,0
447,838.68,5.5837,34.3315,86.34,7.4869,2.76288,0
448,839.96,5.5751,34.3321,86.2,7.4878,2.7584,0
449,0,27.2652,34.2249,203.47,8.081,6.51104,2
450,10.13,27.2559,34.2276,203.28,8.0816,6.50496,2
451,50.46,22.8609,34.6214,220.95,8.0604,7.0704,3
452,99.61,21.0892,34.7404,209.71,8.0272,6.71072,3
453,150.84,19.9439,34.7803,197.62,7.9911,6.32384,3
454,199.97,18.9781,34.7786,206.97,7.9901,6.62304,3
455,249.78,18.3339,34.7515,200.65,7.9662,6.4208,3
456,298.99,17.3821,34.7062,192,7.9307,6.144,2
457,399.45,14.9486,34.5594,178.74,7.8591,5.71968,2
458,499.76,12.4415,34.4242,163.55,7.7715,5.2336,2
459,600.02,10.06,34.3319,143.87,7.6824,4.60384,2
460,700.63,7.8568,34.3034,116.97,7.5894,3.74304,1
461,800.21,6.9988,34.3048,105.27,7.5496,3.36864,1
462,899.53,6.5013,34.3063,98.66,7.5278,3.15712,1
463,999.5,5.7415,34.3063,91.71,7.4989,2.93472,0
464,1031.33,5.6535,34.3066,87.41,7.4915,2.79712,0
465,0,27.1403,34.5476,203.52,8.0827,6.51264,2
466,9.64,27.0703,34.5555,204.49,8.0815,6.54368,2
467,49.57,24.4038,34.6688,213.73,8.0707,6.83936,2
468,99.52,21.5959,34.7817,202.28,8.0253,6.47296,3
469,150.16,20.5444,34.814,195.01,7.9982,6.24032,3
470,199.89,18.7042,34.7835,193.18,7.9625,6.18176,3
471,249.61,17.8476,34.7376,193.28,7.946,6.18496,2
472,300.61,16.927,34.683,191.43,7.9226,6.12576,2
473,399.69,15.3397,34.578,183.61,7.8737,5.87552,2
474,499.42,12.1756,34.3811,168.52,7.7683,5.39264,2
475,552.93,10.4517,34.2871,155.65,7.7023,4.9808,2
476,553.62,10.4209,34.2872,155.57,7.7019,4.97824,2
477,0,28.1819,34.5203,199.44,8.093,6.38208,2
478,10.23,28.1851,34.5193,199.85,8.097,6.3952,2
479,51.16,23.6642,34.7383,223.67,8.0714,7.15744,3
480,100.32,21.2566,34.794,225.46,8.0562,7.21472,3
481,149.96,20.0865,34.7917,214.32,8.0285,6.85824,3
482,200.29,19.4831,34.788,209.22,8.0101,6.69504,3
483,250.31,18.685,34.771,208.18,7.9923,6.66176,3
484,331.07,17.2287,34.7057,200.06,7.9461,6.40192,2
485,431.13,14.6278,34.5299,180.15,7.8531,5.7648,2
486,530.54,11.1632,34.3139,166.15,7.742,5.3168,2
487,629.81,8.3934,34.1729,138.05,7.6187,4.4176,1
488,730.91,6.3309,34.1515,102.65,7.5172,3.2848,1
489,831.37,5.0536,34.2468,74.38,7.4494,2.38016,0
490,929.71,4.1459,34.3395,62.42,7.4212,1.99744,0
491,1070.1,3.3547,34.4399,65.48,7.4368,2.09536,0
492,1269.56,2.8475,34.4939,74.69,7.4544,2.39008,0
493,1468.73,2.5166,34.5375,84.68,7.4657,2.70976,0
494,1668.9,2.3015,34.5639,94.68,7.4865,3.02976,1
495,1868.78,2.0638,34.6008,110.17,7.5131,3.52544,1
496,2068.76,1.9112,34.6221,118.61,7.533,3.79552,1
497,2091.78,1.8974,34.6237,119.43,7.5289,3.82176,1
498,0,28.9954,34.5572,197.27,8.0842,6.31264,2
499,10.53,28.9985,34.5463,197.37,8.0812,6.31584,2
500,50.17,22.2797,34.7641,230.25,8.0633,7.368,3
501,99.93,20.5904,34.7986,224.58,8.0434,7.18656,3
502,150.17,19.9786,34.7899,213.85,8.0236,6.8432,3
503,200.2,19.483,34.7794,210.44,8.008,6.73408,3
504,250.02,18.6276,34.766,207.24,7.9853,6.63168,3
505,300.72,17.9137,34.74,200.99,7.9597,6.43168,2
506,401.19,15.9779,34.6226,191.02,7.9015,6.11264,2
507,500.83,12.7747,34.4174,174.2,7.7961,5.5744,2
508,600.21,9.7217,34.2283,155.68,7.6803,4.98176,1
509,700.93,7.3075,34.1476,124.38,7.5695,3.98016,1
510,800.42,5.6286,34.176,87.16,7.4671,2.78912,0
511,901.54,4.6915,34.2567,68.34,7.4268,2.18688,0
512,1001.92,4.0757,34.3378,61.65,7.4169,1.9728,0
513,1200.07,3.3216,34.5028,75.84,7.4454,2.42688,0
514,1400.4,2.7381,34.5033,74.41,7.4443,2.38112,0
515,1599.65,2.41,34.5467,87.13,7.4678,2.78816,0
516,1799.6,2.1605,34.5833,100.96,7.4927,3.23072,1
517,2000.64,1.9798,34.6105,112.75,7.5147,3.608,1
518,2199.62,1.8836,34.63,124.41,7.5346,3.98112,1
519,2399.6,1.7855,34.6402,127.98,7.5422,4.09536,1
520,2600.08,1.6968,34.6528,134.42,7.5553,4.30144,1
521,2799.98,1.6436,34.6603,139,7.5629,4.448,1
522,2999.2,1.6044,34.6656,142.51,7.5665,4.56032,1
523,3249.72,1.584,34.6693,145.72,7.5707,4.66304,1
524,3500.14,1.569,34.6717,147.45,7.5744,4.7184,1
525,3750.47,1.5705,34.6748,150.14,7.5773,4.80448,1
526,4000.12,1.5785,34.678,151.66,7.5821,4.85312,1
527,4250.67,1.5965,34.6787,152.42,7.5806,4.87744,1
528,4498.89,1.6144,34.68,153.48,7.5847,4.91136,1
529,4749.56,1.6388,34.681,153.98,7.5845,4.92736,1
530,5000.05,1.6671,34.6814,154.39,7.5867,4.94048,1
531,5250.35,1.6976,34.6813,154.58,7.5855,4.94656,1
532,5501.55,1.7303,34.6821,154.93,7.5878,4.95776,1
533,5750.92,1.7643,34.6811,155.28,7.5857,4.96896,1
534,6004.27,1.8002,34.6829,155.05,7.5854,4.9616,1
535,0,29.6264,34.6434,196.07,8.0902,6.27424,2
536,10.33,29.2581,34.6244,197.41,8.084,6.31712,2
537,52.85,23.3738,34.8067,227.17,8.0636,7.26944,3
538,100.03,20.8198,34.812,224.07,8.0426,7.17024,3
539,149.68,19.4532,34.7982,206.6,7.9986,6.6112,3
540,200.01,18.4029,34.7684,196.24,7.9614,6.27968,3
541,249.73,17.3707,34.7102,195.09,7.9402,6.24288,2
542,329.1,16.2364,34.6359,190.6,7.9087,6.0992,2
543,430.06,13.6771,34.4704,180.04,7.8255,5.76128,2
544,529.59,10.4213,34.2712,161.75,7.7113,5.176,2
545,630.74,7.9765,34.1641,135.92,7.607,4.34944,1
546,729.77,6.1047,34.1703,100.94,7.5048,3.23008,1
547,830.54,4.8716,34.2339,73.46,7.4396,2.35072,0
548,930.95,4.2117,34.3052,62.45,7.9316,1.9984,0
549,1071.16,3.5423,34.4125,62.68,7.4238,2.00576,0
550,1269.35,2.8885,34.4818,70.13,7.4338,2.24416,0
551,1469.42,2.532,34.531,81.95,7.4606,2.6224,0
552,1669.5,2.247,34.5706,95.11,7.4821,3.04352,1
553,1869.98,2.0591,34.6003,107.41,7.9316,3.43712,1
554,2070.18,1.8896,34.6237,119.12,7.5295,3.81184,1
555,2270.68,1.776,34.6408,128.12,7.9316,4.09984,2
556,2470.5,1.7031,34.8094,221.9,7.9316,7.1008,2
557,2670.62,1.6438,34.6588,137.7,7.5639,4.4064,1
558,2870.07,1.5968,34.6649,141.69,7.567,4.53408,1
559,3079.72,1.5761,34.6681,144.5,7.5724,4.624,1
560,3330.05,1.5598,34.6732,147.45,7.5746,4.7184,1
561,3579.02,1.5552,34.6766,150.24,7.5801,4.80768,1
562,3829.46,1.5538,34.6781,152.48,7.5825,4.87936,1
563,3829.85,1.5537,34.6791,151.88,7.5798,4.86016,1
564,3955.12,1.5663,34.6782,151.94,7.5846,4.86208,1
565,0,29.6403,34.6165,196.63,8.0888,6.29216,2
566,10.53,29.3755,34.6893,159.77,7.9604,5.11264,2
567,48.18,25.6086,34.7037,220.25,8.0776,7.048,2
568,99.43,20.9748,34.8009,224.66,8.0403,7.18912,3
569,149.68,19.6561,34.7964,209.55,8.0023,6.7056,3
570,198.82,18.5952,34.7727,204.04,7.9737,6.52928,3
571,250.23,17.6953,34.7325,202.84,7.9504,6.49088,2
572,280.1,17.2207,34.7024,197.46,7.935,6.31872,2
573,371.17,14.949,34.5546,185.75,7.8631,5.944,2
574,470.13,12.2598,34.3793,173.73,7.7779,5.55936,2
575,570.03,8.6386,34.1898,144.63,7.6328,4.62816,1
576,670.47,6.6289,34.1614,111.78,7.53,3.57696,1
577,771.86,5.3899,34.1806,86.02,7.4625,2.75264,0
578,870.73,4.5669,34.253,65.85,7.4226,2.1072,0
579,970.44,4.0279,34.3245,58.97,7.4089,1.88704,0
580,1130.39,3.3035,34.4251,60.17,7.4111,1.92544,0
581,1331.29,2.777,34.5044,74.96,7.4454,2.39872,0
582,1530.61,2.4248,34.547,87.9,7.4689,2.8128,0
583,1730.74,2.1667,34.5841,102.15,7.4979,3.2688,1
584,1930.97,2.0154,34.5212,182.91,7.8339,5.85312,2
585,2130.42,1.8796,34.6274,121.49,7.5349,3.88768,1
586,2330.38,1.7819,34.6391,127.7,7.5409,4.0864,1
587,2530.05,1.7002,34.6508,133.99,7.5531,4.28768,1
588,2730.42,1.6535,34.6571,137.85,7.5595,4.4112,1
589,2930.31,1.5966,34.6635,143.07,7.5673,4.57824,1
590,3171.03,1.5733,34.6694,145.74,7.5724,4.66368,1
591,3420.67,1.5565,34.6734,149.15,7.5782,4.7728,1
592,3671.11,1.5533,34.6759,150.6,7.581,4.8192,1
593,3919.7,1.5594,34.6793,152.45,7.5824,4.8784,1
594,4169.47,1.5727,34.6802,153.62,7.5835,4.91584,1
595,4187.01,1.5736,34.6795,153.5,7.5832,4.912,1
596,0,22.2378,34.7479,216,8.0464,6.912,3
597,9.54,22.2376,34.7439,215.6,8.0578,6.8992,3
598,24.34,22.2381,34.6166,215.4,8.0629,6.8928,3
599,48.38,22.2449,34.6166,215.4,8.0662,6.8928,3
600,74.41,22.209,34.6166,215.6,8.055,6.8992,3
601,101.02,21.8706,34.7148,213.2,8.0496,6.8224,3
602,123.57,21.3341,34.6166,207.8,8.0293,6.6496,3
603,150.87,20.5925,34.6166,201.5,8.006,6.448,3
604,199.52,18.7044,34.7933,199.6,7.9766,6.3872,3
605,253.61,17.6828,34.6166,205.9,7.9718,6.5888,2
606,303.91,16.8431,34.6166,203.3,7.9393,6.5056,2
607,401.62,14.4639,34.51,189.3,7.8537,6.0576,2
608,502.94,11.5709,34.6166,173,7.7548,5.536,2
609,603.52,8.6169,34.1799,143.8,7.644,4.6016,1
610,700.98,6.6173,34.6166,109.1,7.5263,3.4912,1
611,802.06,5.4315,34.2023,82.6,7.4605,2.6432,0
612,902.29,4.711,34.6166,64.8,7.4188,2.0736,0
613,999.91,4.0276,34.3394,57.1,7.4026,1.8272,0
614,1199.85,3.2529,34.4512,67.4,7.4236,2.1568,0
615,1398.91,2.7221,34.5091,75.1,7.4432,2.4032,0
616,1594.82,2.3658,34.5547,90.9,7.4722,2.9088,0
617,1796.07,2.1656,34.5888,102.4,7.4937,3.2768,1
618,2013.76,1.9669,34.6157,115.4,7.5192,3.6928,1
619,2014.64,1.9665,34.6154,115.1,7.5189,3.6832,1
620,0,23.1877,34.8321,216,8.0737,6.912,3
621,10.04,23.1869,34.8323,216,8.0784,6.912,3
622,24.44,23.1616,34.6166,216.2,8.0774,6.9184,3
623,50.17,22.5422,34.6166,219.7,8.0669,7.0304,3
624,74.41,21.2723,34.6166,223.6,8.0561,7.1552,3
625,98.84,20.7186,34.7756,220,8.0426,7.04,3
626,124.56,20.4854,34.6166,216.6,8.0317,6.9312,3
627,148.69,20.2143,34.6166,213.9,8.0254,6.8448,3
628,198.72,19.2932,34.7862,208,8,6.656,3
629,250.33,18.1415,34.6166,197.9,7.9291,6.3328,3
630,300.04,17.4022,34.6166,203.1,7.9582,6.4992,2
631,399.63,15.6582,34.601,190.8,7.892,6.1056,2
632,498.77,12.7049,34.6166,175.8,7.7938,5.6256,2
633,599.16,9.1465,34.2129,145.8,7.6519,4.6656,1
634,698.2,7.3904,34.6166,116.5,7.5602,3.728,1
635,799.98,5.6352,34.2174,83.7,7.4725,2.6784,0
636,897.44,4.5688,34.6166,65.6,7.4299,2.0992,0
637,1000.11,3.9831,34.3639,61,7.4183,1.952,0
638,1199.65,3.1419,34.4558,65.9,7.4301,2.1088,0
639,1399.79,2.7059,34.5099,76.2,7.4473,2.4384,0
640,1599.25,2.314,34.5631,93,7.4813,2.976,0
641,1800.3,2.1135,34.5896,104.1,7.501,3.3312,1
642,1999.58,1.9238,34.6184,116.7,7.522,3.7344,1
643,0,24.5042,34.7107,209.6,8.0786,6.7072,2
644,11.72,24.5138,34.707,209.6,8.0866,6.7072,2
645,24.04,24.5185,34.6166,209.3,8.0841,6.6976,2
646,52.36,24.4292,34.6166,209.9,8.0815,6.7168,2
647,76.99,24.0699,34.6166,212.4,8.0766,6.7968,2
648,102.71,20.8149,34.8413,220.9,8.039,7.0688,3
649,126.54,19.3774,34.6166,205.9,8.0007,6.5888,3
650,150.57,18.5581,34.6166,204.8,7.9848,6.5536,3
651,201.3,17.8227,34.7462,203.3,7.9721,6.5056,2
652,202.79,17.8106,34.7462,203.1,7.9655,6.4992,2
653,251.13,17.0496,34.6166,203.8,7.9496,6.5216,2
654,301.14,16.2797,34.6166,197.2,7.9256,6.3104,2
655,402.8,12.9226,34.4205,179.3,7.8107,5.7376,2
656,504.62,10.2737,34.6166,162.6,7.7144,5.2032,2
657,601.34,7.6581,34.1555,129.3,7.5872,4.1376,1
658,701.27,5.8666,34.6166,99.8,7.4917,3.1936,1
659,801.56,4.9271,34.204,75.4,7.4372,2.4128,0
660,902.98,4.2621,34.6166,61,7.4115,1.952,0
661,1000.01,3.7943,34.3819,59.3,7.4136,1.8976,0
662,1203.2,2.9988,34.4638,64.5,7.4236,2.064,0
663,1401.67,2.574,34.5314,81.3,7.4601,2.6016,0
664,1402.06,2.5741,34.5301,81.3,7.46,2.6016,0
665,1602.11,2.2825,34.5689,95,7.4857,3.04,1
666,1802.46,2.0788,34.6004,108.4,7.5087,3.4688,1
667,1999.48,1.9392,34.6211,117.6,7.5299,3.7632,1
668,0,21.8989,34.8965,217.2,8.0655,6.9504,3
669,11.03,21.9002,34.8908,217,8.064,6.944,3
670,26.13,21.9166,34.8912,216.8,8.0626,6.9376,3
671,51.36,21.9212,34.8909,216.6,8.0636,6.9312,3
672,76.19,21.9284,34.892,216.8,8.0635,6.9376,3
673,105.29,21.896,34.888,216.5,8.0674,6.928,3
674,128.83,20.74,34.8442,203.4,8.0166,6.5088,3
675,151.17,19.2172,34.7914,202.6,7.9803,6.4832,3
676,201.1,18.107,34.7589,201.2,7.9614,6.4384,3
677,252.71,17.2032,34.7085,200,7.9471,6.4,2
678,256.58,17.1901,34.7083,199.9,7.9408,6.3968,2
679,305.2,16.2065,34.6416,195.3,7.908,6.2496,2
680,402.31,13.739,34.4748,181.9,7.828,5.8208,2
681,503.73,10.7318,34.2852,165.7,7.7214,5.3024,2
682,602.53,7.4217,34.1521,127.6,7.5715,4.0832,1
683,703.65,6.0927,34.2338,90.2,7.4907,2.8864,0
684,801.46,5.3143,34.2788,75.8,7.4546,2.4256,0
685,902.19,4.4341,34.3156,61.6,7.4164,1.9712,0
686,902.98,4.4263,34.3148,62.1,7.4152,1.9872,0
687,1002.87,3.9161,34.3635,57.2,7.4066,1.8304,0
688,1202.02,3.1655,34.4595,65.6,7.4271,2.0992,0
689,1405.61,2.6645,34.5186,78,7.448,2.496,0
690,1600.73,2.3405,34.5644,92.8,7.4776,2.9696,0
691,1802.86,2.1557,34.5876,103.1,7.4918,3.2992,1
692,2000.76,1.9865,34.6122,113.6,7.5168,3.6352,1
693,0,23.6977,34.9716,215.2,8.0782,6.8864,3
694,10.53,23.6938,34.9631,215.3,8.0685,6.8896,3
695,10.93,23.6967,34.9675,215.2,8.0792,6.8864,3
696,25.43,23.6967,34.6166,215.6,8.0779,6.8992,3
697,50.47,22.0522,34.9259,220.5,8.073,7.056,3
698,74.9,21.5532,34.6166,222.4,8.0611,7.1168,3
699,100.82,20.9681,34.9123,216,8.0448,6.912,3
700,125.95,20.5699,34.6166,207.3,8.0274,6.6336,3
701,150.37,20.1098,34.6166,212,8.0496,6.784,3
702,201.9,18.88,34.8369,214.5,8.0062,6.864,3
703,250.03,17.9006,34.6166,199.2,7.9625,6.3744,2
704,299.55,16.7456,34.6836,196.4,7.9301,6.2848,2
705,399.73,13.2144,34.4283,177.2,7.8056,5.6704,2
706,500.46,9.8966,34.2497,149.4,7.6755,4.7808,1
707,500.86,9.8936,34.2486,149.3,7.6782,4.7776,1
708,601.04,7.8672,34.1892,123.1,7.5839,3.9392,1
709,700.38,6.4009,34.6166,97.4,7.5103,3.1168,1
710,800.87,5.2743,34.3051,76.2,7.4608,2.4384,0
711,900.51,4.1219,34.6166,59.5,7.4196,1.904,0
712,1000.3,3.6859,34.3811,58,7.4123,1.856,0
713,1201.03,3.0695,34.4722,68.7,7.439,2.1984,0
714,1399.79,2.6008,34.5247,80.1,7.4592,2.5632,0
715,1600.43,2.3092,34.5642,93.7,7.4866,2.9984,0
716,1801.38,2.0879,34.5976,107.3,7.5133,3.4336,1
717,2001.45,1.9274,34.6194,117.3,7.5285,3.7536,1
718,0,23.1027,34.8958,215.5,8.0807,6.896,3
719,11.72,23.0956,34.886,215.5,8.0791,6.896,3
720,26.32,23.0345,34.6166,215.7,8.0792,6.9024,3
721,53.74,23.0232,34.8853,214.9,8.0788,6.8768,3
722,81.64,22.6331,34.6166,208.8,8.0656,6.6816,3
723,101.7,22.24,34.8828,205.1,8.0538,6.5632,3
724,127.52,21.9525,34.6166,204.5,8.0489,6.544,3
725,152.33,21.2599,34.8722,203.7,8.0853,6.5184,3
726,155.21,21.1261,34.8729,203.6,8.0297,6.5152,3
727,201.76,19.7762,34.8513,204.2,8.0075,6.5344,3
728,252.37,18.6245,34.6166,194.9,7.9698,6.2368,3
729,303.27,17.6057,34.6166,191.9,7.9447,6.1408,2
730,402.04,14.9539,34.5617,179.4,7.8633,5.7408,2
731,501.76,11.8095,34.4024,155.6,7.7495,4.9792,2
732,507.31,11.6813,34.3992,154.8,7.7445,4.9536,2
733,0,22.6173,34.8315,217.1,8.0761,6.9472,3
734,10.63,22.6187,34.8215,217.1,8.0735,6.9472,3
735,21.16,22.615,34.6166,218.3,8.0775,6.9856,3
736,31.09,22.4509,34.6166,218.8,8.0701,7.0016,3
737,51.25,22.0622,34.8734,219.9,8.0648,7.0368,3
738,74.29,21.8643,34.6166,215.9,8.0576,6.9088,3
739,74.39,21.8622,34.6166,215.9,8.0613,6.9088,3
740,100.7,21.5488,34.8732,211.7,8.0501,6.7744,3
741,125.92,21.2821,34.6166,209.1,8.0421,6.6912,3
742,149.85,20.9413,34.6166,207.7,8.0351,6.6464,3
743,200.76,19.847,34.8547,205.9,8.0121,6.5888,3
744,249.98,19.1188,34.6166,198.8,7.9825,6.3616,3
745,301.97,17.6459,34.6166,191.8,7.9423,6.1376,2
746,401.04,14.5105,34.531,177.1,7.8464,5.6672,2
747,502.44,11.6437,34.6166,157.9,7.7438,5.0528,2
748,601.01,9.3522,34.3285,131.2,7.6492,4.1984,1
749,701.62,7.8993,34.6166,113.7,7.5891,3.6384,1
750,802.09,6.9806,34.6166,101.8,7.5462,3.2576,1
751,802.68,6.9787,34.3224,102.1,7.5494,3.2672,1
752,900.62,6.2982,34.6166,93.9,7.5215,3.0048,1
753,978.74,6.0676,34.3329,91.5,7.5203,2.928,0
754,0,27.2052,34.8329,201.1,8.1137,6.4352,2
755,11.92,27.2088,34.8094,200.7,8.1162,6.4224,2
756,26.73,27.0416,34.8602,201.7,8.1123,6.4544,2
757,51.36,26.8277,34.8888,202.8,8.1005,6.4896,2
758,78.28,26.6926,34.8924,201.9,8.0985,6.4608,2
759,102.12,25.6318,34.8764,198.4,8.075,6.3488,2
760,126.35,22.6989,34.9195,195,8.0317,6.24,3
761,152.66,21.1762,34.9064,196.2,8.0172,6.2784,3
762,203.49,19.3871,34.8575,203.4,7.9959,6.5088,3
763,253.41,18.4662,34.8276,209.1,7.992,6.6912,3
764,303.62,18.0491,34.8032,208.6,7.9818,6.6752,3
765,403.6,16.1148,34.6404,195.3,7.9141,6.2496,2
766,502.24,13.0262,34.4182,175.4,7.8023,5.6128,2
767,605.3,9.7819,34.2328,152.3,7.6783,4.8736,1
768,606.29,9.6973,34.2377,152.4,7.6766,4.8768,1
769,702.16,7.6158,34.1643,121.4,7.5697,3.8848,1
770,802.94,6.5799,34.2806,95.3,7.5194,3.0496,1
771,904.27,5.4091,34.3051,79.4,7.4748,2.5408,0
772,1002.38,4.3754,34.3592,68.3,7.4406,2.1856,0
773,1201.13,3.4618,34.4731,75.1,7.455,2.4032,0
774,1402.65,2.7522,34.5095,75.7,7.4472,2.4224,0
775,1602.11,2.3774,34.556,89.2,7.4756,2.8544,0
776,1800.2,2.1672,34.5871,101.3,7.4958,3.2416,1
777,1802.86,2.1669,34.586,101.6,7.4949,3.2512,1
778,2003.51,2.0194,34.6118,112.4,7.5167,3.5968,1
779,0,25.901,34.8171,205.7,8.0963,6.5824,2
780,11.23,25.9169,34.808,205,8.0999,6.56,2
781,21.36,25.5014,34.8027,206.5,8.0916,6.608,2
782,31.69,25.4141,34.8009,206.6,8.0929,6.6112,2
783,50.16,25.3393,34.7972,206.8,8.0889,6.6176,2
784,80.35,24.929,34.7999,204.4,8.0827,6.5408,2
785,102.2,23.4679,34.8492,193.9,8.0375,6.2048,3
786,126.82,22.3927,34.8737,193.4,8.0212,6.1888,3
787,151.14,20.9435,34.8456,195.4,8.0043,6.2528,3
788,151.34,20.9429,34.8419,194.8,8.0057,6.2336,3
789,201.57,19.5338,34.8278,196.8,7.9856,6.2976,3
790,251.78,18.5576,34.8003,200.2,7.9754,6.4064,3
791,302.08,17.2909,34.7228,196.4,7.9408,6.2848,2
792,401.55,13.4856,34.4828,168,7.8026,5.376,2
793,402.64,13.4535,34.4832,168.4,7.8069,5.3888,2
794,508.7,11.7214,34.4084,152.2,7.7392,4.8704,2
795,0,25.3033,34.8453,206.3,8.0923,6.6016,2
796,10.53,25.302,34.8343,206.3,8.088,6.6016,2
797,20.36,25.3156,34.8376,206.4,8.0929,6.6048,2
798,30.59,25.3196,34.8351,206.2,8.0891,6.5984,2
799,49.76,25.3012,34.8328,206,8.0882,6.592,2
800,74.49,25.2482,34.8225,203.7,8.0771,6.5184,2
801,100.31,23.9803,34.8245,197.4,8.0534,6.3168,3
802,124.33,22.8044,34.8188,196.4,8.0332,6.2848,3
803,149.75,21.217,34.8271,194.2,8.0092,6.2144,3
804,200.76,19.0694,34.8279,201.6,7.9827,6.4512,3
805,250.38,18.0588,34.7765,199.1,7.9639,6.3712,3
806,300.08,17.1042,34.7091,195.5,7.9298,6.256,2
807,300.28,17.0727,34.7116,195.5,7.9395,6.256,2
808,400.74,14.591,34.5275,180.5,7.8519,5.776,2
809,500.26,11.4248,34.3346,162.2,7.7407,5.1904,2
810,599.92,8.6538,34.2349,132.8,7.6208,4.2496,1
811,699.64,7.1584,34.3187,104.5,7.5493,3.344,1
812,799.41,6.5102,34.3353,95.9,7.5253,3.0688,1
813,899.04,6.0056,34.3455,90.4,7.5067,2.8928,0
814,1016.7,5.6677,34.3515,87,7.4932,2.784,0
815,1016.8,5.6676,34.3514,86.9,7.4965,2.7808,0
816,0,22.4299,34.8674,212.3,8.0717,6.7936,3
817,12.22,22.4333,34.8745,211.8,8.0677,6.7776,3
818,22.25,22.4153,34.6166,212.2,8.0705,6.7904,3
819,31.49,22.3327,34.8826,212.7,8.0637,6.8064,3
820,51.85,22.2806,34.882,212.6,8.0659,6.8032,3
821,76.97,22.1819,34.6166,211.8,8.0663,6.7776,3
822,100.7,22.1101,34.8739,210.3,8.0613,6.7296,3
823,123.14,21.2176,34.8566,200.2,8.0204,6.4064,3
824,124.14,21.217,34.8559,200.6,8.0268,6.4192,3
825,152.33,20.1183,34.8339,200.3,8.0024,6.4096,3
826,202.85,19.0906,34.8102,200.5,7.9862,6.416,3
827,251.37,17.9202,34.6166,200.8,7.9643,6.4256,2
828,301.87,17.1156,34.7122,200.3,7.9478,6.4096,2
829,403.02,15.0146,34.5648,186.4,7.8776,5.9648,2
830,501.54,11.9683,34.3992,161.7,7.7638,5.1744,2
831,602,8.8598,34.3339,126.3,7.6329,4.0416,1
832,702.81,7.9941,34.3313,114.5,7.595,3.664,1
833,801.99,6.8511,34.3337,100.4,7.5449,3.2128,1
834,902.9,6.3322,34.3335,94.3,7.5254,3.0176,1
835,1002.67,5.7295,34.332,86.7,7.5017,2.7744,0
836,1030.15,5.6811,34.3325,85.8,7.4979,2.7456,0
837,0,24.5067,34.7812,206.3,8.0955,6.6016,2
838,10.53,24.5136,34.7775,206.3,8.0994,6.6016,2
839,21.06,24.5149,34.7782,206.2,8.1005,6.5984,2
840,31.19,24.5182,34.7776,205.9,8.096,6.5888,2
841,50.66,24.2055,34.8087,206.3,7.9316,6.6016,2
842,76.68,23.5924,34.9801,192.5,8.0402,6.16,3
843,79.36,23.4504,34.9779,192.7,8.0454,6.1664,3
844,103.19,22.7346,35.0034,189,8.0234,6.048,2
845,126.23,21.9763,34.9626,189.5,8.0165,6.064,3
846,150.55,21.3377,34.9496,191,8.0095,6.112,3
847,200.87,19.7047,34.832,197.5,7.9925,6.32,3
848,253.07,18.6434,34.7927,197.9,7.9745,6.3328,3
849,302.77,17.3735,34.7298,200.1,7.9516,6.4032,2
850,401.65,14.6245,34.5451,179.1,7.8538,5.7312,2
851,501.07,12.1581,34.4209,157.7,7.7625,5.0464,2
852,501.27,12.1659,34.4216,157.8,7.7638,5.0496,2
853,541.4,11.9664,34.4143,155.8,7.7566,4.9856,2
854,0,24.14,34.9049,210.6,8.092,6.7392,2
855,10.83,24.1503,34.8947,209.8,8.0901,6.7136,2
856,26.33,24.1537,34.8951,209.9,8.0932,6.7168,2
857,50.27,24.1565,34.8944,209.6,8.0918,6.7072,2
858,76.29,24.1255,34.6166,209.4,8.0907,6.7008,2
859,101.12,22.723,34.9012,207.4,8.0447,6.6368,3
860,124.96,20.7407,34.6166,202,8.0128,6.464,3
861,150.28,19.2936,34.8523,199.8,7.9849,6.3936,3
862,200.31,18.2542,34.799,202.7,7.978,6.4864,3
863,249.74,17.6558,34.747,200.6,7.9617,6.4192,2
864,300.14,16.6389,34.6733,199.4,7.9344,6.3808,2
865,400.13,14.3101,34.4946,185.6,7.8523,5.9392,2
866,499.96,10.7225,34.2875,159.3,7.7205,5.0976,2
867,599.95,8.0232,34.1656,135.1,7.6085,4.3232,1
868,702.07,6.0275,34.1579,99.5,7.5024,3.184,1
869,801.76,5.0206,34.2167,76.2,7.4489,2.4384,0
870,901.99,4.3707,34.316,64.1,7.431,2.0512,0
871,1001.49,3.9125,34.4143,68.1,7.4427,2.1792,0
872,1201.43,3.1076,34.4915,76.7,7.4595,2.4544,0
873,1400.38,2.5891,34.537,85.5,7.4752,2.736,0
874,1600.34,2.2997,34.5696,95.1,7.4896,3.0432,1
875,1800.4,2.069,34.6001,108,7.5158,3.456,1
876,1800.79,2.0687,34.6,107.6,7.5101,3.4432,1
877,2002.73,1.9391,34.6226,117.5,7.5324,3.76,1
878,2002.83,1.9388,34.623,117.3,7.5328,3.7536,1
879,0,22.327,34.8423,217.7,8.0586,6.9664,3
880,11.92,22.329,34.8432,217.3,8.0595,6.9536,3
881,22.45,22.3045,34.6166,217.6,8.0611,6.9632,3
882,32.48,22.181,34.6166,216.9,8.0615,6.9408,3
